ICD10_ID;Section_ID;Bullet_ID;Med_Class_ID;Variable_Group;Target_Variable;Statement_Text;Reference_Link;Nuance_Transition;Caregiver_Statement;Route_Icon;
J00;SEC_01_DEF;B1;;Universal;Universal_Statement;Acute airway infection affects the nose sinuses throat and voice box.;Wang et al. 2021 (DOI: 10.1080/17476348.2021.1988569);;;;
J00;SEC_01_DEF;B2;;Universal;Universal_Statement;Viruses enter the airways and trigger swelling leading to a blocked nose and an irritated throat.;Arama et al. 2023 (DOI: 10.37897/rjid.2023.4.1);;;;
J00;SEC_01_DEF;B3;;Universal;Universal_Statement;The condition is generally mild and resolves without long-term issues for most individuals.;K et al. 2024 (DOI: 10.38022/ajhp.v4i4.93);;;;
J00;SEC_01_DEF;B3;;Age;Age_Infant_1_12m;Young infants face a much higher risk for hospital admission and severe symptoms.;Xu et al. 2025 (DOI: 10.1186/s12879-025-11121-z);However ;;;
J00;SEC_01_DEF;B3;;Age;Age_Frail_Elderly_80_Plus;Older adults also experience a peak risk for severe illness requiring extra medical support.;Xu et al. 2025 (DOI: 10.1186/s12879-025-11121-z);Additionally ;;;
J00;SEC_02_ETI;B1;;Universal;Universal_Statement;The vast majority of these infections are caused directly by common respiratory viruses.;K et al. 2024 (DOI: 10.38022/ajhp.v4i4.93);;;;
J00;SEC_02_ETI;B2;;Universal;Universal_Statement;Exposure to indoor smoke outdoor pollution and overcrowded living spaces increases the chance of catching the virus.;Jin et al. 2021 (DOI: 10.1016/j.eclinm.2021.100986);;;;
J00;SEC_02_ETI;B2;;Sex/Physical;BMI_Morbidly_Obese_40_Plus;Severe weight levels heavily increase the risk of needing hospital care during an infection.;Waxse et al. 2025 (DOI: 10.1093/ofid/ofae631.875);Furthermore ;;;
J00;SEC_02_ETI;B2;;Sex/Physical;BMI_Underweight;Being severely underweight is another major factor linked to a higher risk of hospital admission.;Waxse et al. 2025 (DOI: 10.1093/ofid/ofae631.875);Similarly ;;;
J00;SEC_02_ETI;B3;;Universal;Universal_Statement;Certain biological factors naturally increase the likelihood of developing more noticeable symptoms.;Waxse et al. 2025 (DOI: 10.1093/ofid/ofae631.875);;;;
J00;SEC_02_ETI;B3;;Sex/Physical;Sex_Male;Males tend to show slightly higher rates of hospital admission for viral respiratory illnesses.;Waxse et al. 2025 (DOI: 10.1093/ofid/ofae631.875);For instance ;;;
J00;SEC_03_IMP;B1;;Universal;Universal_Statement;The condition causes a noticeable drop in airflow through the nose making breathing quite difficult.;Eccles et al. 2006 (DOI: 10.1185/030079906x154105);;;;
J00;SEC_03_IMP;B2;;Universal;Universal_Statement;This congestion leads to poor sleep quality and causes significant time lost from daily routines or work.;Jin et al. 2021 (DOI: 10.1016/j.eclinm.2021.100986);;;;
J00;SEC_03_IMP;B3;;Universal;Universal_Statement;The ongoing discomfort and disruption of deep rest can leave individuals feeling completely exhausted.;Wang et al. 2021 (DOI: 10.1080/17476348.2021.1988569);;;;
J00;SEC_04_TX;B1;PARACETAMOL;Universal;Universal_Statement;This medicine blocks pain signals in the nervous system to relieve aches and reduce fever.;Kanabar 2017 (DOI: 10.1007/s10787-016-0302-3);;;icon_route_oral.png;
J00;SEC_04_TX;B2;PARACETAMOL;Universal;Universal_Statement;It is used for the quick relief of fever and mild pain during the first few days of sickness.;Wang et al. 2021 (DOI: 10.1080/17476348.2021.1988569);;;icon_route_oral.png;
J00;SEC_04_TX;B3;PARACETAMOL;Universal;Universal_Statement;Mild upset stomach can happen but the treatment is generally very well tolerated by the body.;Kanabar 2017 (DOI: 10.1007/s10787-016-0302-3);;;icon_route_oral.png;
J00;SEC_04_TX;B4;PARACETAMOL;Universal;Universal_Statement;The liver processes and removes this medicine from the body.;Kanabar 2017 (DOI: 10.1007/s10787-016-0302-3);;;icon_route_oral.png;
J00;SEC_04_TX;B4;PARACETAMOL;Age;Age_Frail_Elderly_80_Plus;The body clears the drug much slower in older age groups requiring careful dose adjustments.;Mian et al. 2018 (DOI: 10.1007/s40266-018-0559-x);Importantly ;;;icon_route_oral.png
J00;SEC_04_TX;B4;PARACETAMOL;Sex/Physical;BMI_Morbidly_Obese_40_Plus;Severe obesity changes how the drug moves through the body meaning unique doses are often needed.;Zempsky et al. 2020 (DOI: 10.1007/s40272-020-00417-z);Furthermore ;;;icon_route_oral.png
J00;SEC_04_TX;B1;IBUPROFEN;Universal;Universal_Statement;This medicine stops enzymes that create swelling and pain signals in the body.;Martinelli et al. 2021 (DOI: 10.1186/s13052-021-01047-y);;;icon_route_oral.png;
J00;SEC_04_TX;B2;IBUPROFEN;Universal;Universal_Statement;It provides effective short-term relief for body aches and high temperatures.;Martinelli et al. 2021 (DOI: 10.1186/s13052-021-01047-y);;;icon_route_oral.png;
J00;SEC_04_TX;B3;IBUPROFEN;Universal;Universal_Statement;It can sometimes cause nausea or stomach discomfort if taken on an empty stomach.;Martinelli et al. 2021 (DOI: 10.1186/s13052-021-01047-y);;;icon_route_oral.png;
J00;SEC_04_TX;B4;IBUPROFEN;Universal;Universal_Statement;The chance of side effects depends heavily on how much is taken and the total days used.;Martinelli et al. 2021 (DOI: 10.1186/s13052-021-01047-y);;;icon_route_oral.png;
J00;SEC_04_TX;B1;PSEUDOEPHEDRINE;Universal;Universal_Statement;This medicine narrows blood vessels inside the nose to quickly clear up a blocked airway.;Arama et al. 2023 (DOI: 10.37897/rjid.2023.4.1);;;icon_route_oral.png;
J00;SEC_04_TX;B2;PSEUDOEPHEDRINE;Universal;Universal_Statement;It helps improve breathing through the nose when a cold makes it feel completely stuffed.;Arama et al. 2023 (DOI: 10.37897/rjid.2023.4.1);;;icon_route_oral.png;
J00;SEC_04_TX;B3;PSEUDOEPHEDRINE;Universal;Universal_Statement;It might cause a faster heartbeat or make it hard to fall asleep at night.;Arama et al. 2023 (DOI: 10.37897/rjid.2023.4.1);;;icon_route_oral.png;
J00;SEC_04_TX;B4;PSEUDOEPHEDRINE;Universal;Universal_Statement;Most of the active medicine leaves the body through the urine without being changed.;Glowacka and Wiela-Hojenska 2021 (DOI: 10.3390/ijms22105146);;;icon_route_oral.png;
J00;SEC_04_TX;B4;PSEUDOEPHEDRINE;Age;Age_Infant_1_12m;This medicine is completely unsafe for young children and must not be given.;Glowacka and Wiela-Hojenska 2021 (DOI: 10.3390/ijms22105146);OVERRIDE;;;icon_route_oral.png
J00;SEC_04_TX;B4;PSEUDOEPHEDRINE;Clinical;Renal_Impaired_Severe_ESRD;This medicine is dangerous for those with weak kidney function and must be strictly avoided.;Arama et al. 2023 (DOI: 10.37897/rjid.2023.4.1);OVERRIDE;;;icon_route_oral.png
J00;SEC_04_TX;B1;DEXTROMETHORPHAN;Universal;Universal_Statement;This medicine targets specific brain receptors to reduce the urge to cough.;Silva and Dinis-Oliveira 2020 (DOI: 10.1080/03602532.2020.1758712);;;icon_route_oral.png;
J00;SEC_04_TX;B2;DEXTROMETHORPHAN;Universal;Universal_Statement;It is used to calm dry and irritating coughs that interrupt rest.;Silva and Dinis-Oliveira 2020 (DOI: 10.1080/03602532.2020.1758712);;;icon_route_oral.png;
J00;SEC_04_TX;B3;DEXTROMETHORPHAN;Universal;Universal_Statement;It may occasionally cause slight dizziness or mild drowsiness.;Silva and Dinis-Oliveira 2020 (DOI: 10.1080/03602532.2020.1758712);;;icon_route_oral.png;
J00;SEC_04_TX;B4;DEXTROMETHORPHAN;Universal;Universal_Statement;The way the body breaks down this medicine varies greatly from person to person.;Silva and Dinis-Oliveira 2020 (DOI: 10.1080/03602532.2020.1758712);;;icon_route_oral.png;
J00;SEC_05_MNG;B1;;Universal;Universal_Statement;Honey serves as a simple soothing option that helps reduce the severity of coughs.;Abuelgasim et al. 2020 (DOI: 10.1136/bmjebm-2020-111336);;;;
J00;SEC_05_MNG;B2;;Universal;Universal_Statement;Resting well and keeping activities light helps the body recover energy faster.;Holland et al. 2024 (DOI: 10.1183/13993003.00335-2024);;;;
J00;SEC_05_MNG;B3;;Universal;Universal_Statement;Using barrier nasal sprays early on can trap airborne particles and reduce spread.;Wang et al. 2021 (DOI: 10.1080/17476348.2021.1988569);;;;
J00;SEC_06_FLG;B1;;Universal;Universal_Statement;A high fever lasting three or more days or thick discharge with facial pain are warning signs requiring a doctor.;Harris et al. 2016 (DOI: 10.7326/m15-1840);;;icon_warning.png;
J00;SEC_06_FLG;B2;;Universal;Universal_Statement;Any unusual reaction or feeling much worse after starting a treatment means the medicine should be stopped.;Wang et al. 2021 (DOI: 10.1080/17476348.2021.1988569);;;icon_warning.png;
J00;SEC_06_FLG;B2;PARACETAMOL;Universal;Universal_Statement;Watch closely for signs of liver strain especially if taking large amounts repeatedly.;Kanabar 2017 (DOI: 10.1007/s10787-016-0302-3);;;icon_warning.png;
J00;SEC_06_FLG;B2;IBUPROFEN;Universal;Universal_Statement;Watch for severe stomach pain or signs of bleeding in the digestive tract.;Martinelli et al. 2021 (DOI: 10.1186/s13052-021-01047-y);;;icon_warning.png;
J00;SEC_06_FLG;B2;PSEUDOEPHEDRINE;Universal;Universal_Statement;Stop immediately if a racing heart or severe chest discomfort suddenly occurs.;Arama et al. 2023 (DOI: 10.37897/rjid.2023.4.1);;;icon_warning.png;
J00;SEC_06_FLG;B2;DEXTROMETHORPHAN;Universal;Universal_Statement;Watch carefully for extreme drowsiness or unexpected confusion while resting.;Silva and Dinis-Oliveira 2020 (DOI: 10.1080/03602532.2020.1758712);;;icon_warning.png;
J00;SEC_06_FLG;B3;;Universal;Universal_Statement;If symptoms initially get better and then suddenly become much worse a medical professional must evaluate the airways.;Harris et al. 2016 (DOI: 10.7326/m15-1840);;;icon_warning.png;
J00;SEC_07_SUC;B1;;Universal;Universal_Statement;The primary medical goal is to improve airflow through the nose and reduce coughing fits.;Eccles et al. 2006 (DOI: 10.1185/030079906x154105);;;;
