ICD10_ID;Section_ID;Bullet_ID;Med_Class_ID;Variable_Group;Target_Variable;Statement_Text;Reference_Link;Nuance_Transition;Caregiver_Statement;Route_Icon;
J11.1;SEC_01_DEF;B1;;Universal;Universal_Statement;Seasonal influenza is an acute viral respiratory infection that triggers illness ranging from mild upper airway symptoms to severe lung damage.;Jain et al. 2025 (DOI: 10.1016/j.micpath.2025.107671);;;;
J11.1;SEC_01_DEF;B2;;Universal;Universal_Statement;The virus attacks the breathing tubes spreading rapidly and causing the body to overreact resulting in severe swelling.;Rosero et al. 2025 (DOI: 10.1007/s40266-024-01169-y);;;;
J11.1;SEC_01_DEF;B3;;Universal;Universal_Statement;Most people recover smoothly but the illness can progress to dangerous secondary lung infections and organ failure.;Gao et al. 2024 (DOI: 10.1016/s0140-6736(24)01307-2);;;;
J11.1;SEC_02_ETI;B1;;Universal;Universal_Statement;The illness is caused directly by specific seasonal respiratory viruses that spread easily between people.;Paules and Subbarao 2017 (DOI: 10.1016/s0140-6736(17)30129-0);;;;
J11.1;SEC_02_ETI;B2;;Universal;Universal_Statement;Living in crowded areas and having existing heart or nerve conditions heavily increases the risk of severe illness.;Uyeki et al. 2019 (DOI: 10.1093/cid/ciy874);;;;
J11.1;SEC_02_ETI;B2;;Sex/Physical;BMI_Obese_30_Plus;Excess body weight shows a direct link to worse outcomes and a much higher chance of needing breathing support.;McGovern et al. 2024 (DOI: 10.1093/ofid/ofae203);Furthermore ;;;
J11.1;SEC_02_ETI;B3;;Universal;Universal_Statement;Certain biological factors naturally change how aggressively the virus attacks the body.;OHalloran et al. 2021 (DOI: 10.1001/jamanetworkopen.2021.21880);;;;
J11.1;SEC_02_ETI;B3;;Age;Age_Frail_Elderly_80_Plus;Older age heavily decreases the body's natural defense ability leading to higher hospital admission rates.;Langer et al. 2023 (DOI: 10.1007/s12325-023-02432-1);Additionally ;;;
J11.1;SEC_02_ETI;B3;;Age;Age_Infant_1_12m;Very young children also face a drastically higher risk of severe complications requiring urgent care.;Uyeki et al. 2019 (DOI: 10.1093/cid/ciy874);Similarly ;;;
J11.1;SEC_03_IMP;B1;;Universal;Universal_Statement;The patient will typically experience a sudden high fever deep muscle aches severe headache and a dry cough.;Hanaki et al. 2024 (DOI: 10.2169/internalmedicine.2100-23);;;;
J11.1;SEC_03_IMP;B2;;Universal;Universal_Statement;The intense fatigue and sudden sickness completely stop normal daily activities and force the individual into bed.;Brown et al. 2023 (DOI: 10.1101/2023.04.16.23288205);;;;
J11.1;SEC_03_IMP;B3;;Universal;Universal_Statement;A noticeable drop in energy can last for many weeks after the main illness fades leaving the person feeling totally exhausted.;Brown et al. 2023 (DOI: 10.1101/2023.04.16.23288205);;;;
J11.1;SEC_04_TX;B1;OSELTAMIVIR;Universal;Universal_Statement;This medicine stops the virus from breaking out of infected cells trapping it and stopping the spread through the lungs.;Zhou et al. 2024 (DOI: 10.1371/journal.pone.0308998);;;icon_route_oral.png;
J11.1;SEC_04_TX;B2;OSELTAMIVIR;Universal;Universal_Statement;It is used to shorten the time the patient feels sick and is given as early as possible after symptoms start.;Uyeki et al. 2019 (DOI: 10.1093/cid/ciy874);;;icon_route_oral.png;
J11.1;SEC_04_TX;B3;OSELTAMIVIR;Universal;Universal_Statement;Feeling sick to the stomach and vomiting are quite common when starting this treatment.;Ge et al. 2024 (DOI: 10.3389/fped.2024.1418321);;;icon_route_oral.png;
J11.1;SEC_04_TX;B4;OSELTAMIVIR;Universal;Universal_Statement;The body processes the medicine over a few hours and a portion binds to proteins in the blood.;Wei et al. 2024 (DOI: 10.3389/fphar.2024.1391003);;;icon_route_oral.png;
J11.1;SEC_04_TX;B1;BALOXAVIR;Universal;Universal_Statement;This treatment blocks a specific enzyme the virus needs to copy itself stopping the infection at its source.;Cai et al. 2024 (DOI: 10.3389/fmicb.2024.1428095);;;icon_route_oral.png;
J11.1;SEC_04_TX;B2;BALOXAVIR;Universal;Universal_Statement;It provides a convenient single dose option to quickly bring down a fever and stop the virus from multiplying.;Hayden and Shindo 2019 (DOI: 10.1097/qco.0000000000000532);;;icon_route_oral.png;
J11.1;SEC_04_TX;B3;BALOXAVIR;Universal;Universal_Statement;It is generally very well tolerated with only rare reports of stomach upset or headaches.;Baker et al. 2023 (DOI: 10.1097/inf.0000000000004062);;;icon_route_oral.png;
J11.1;SEC_04_TX;B4;BALOXAVIR;Universal;Universal_Statement;The medicine binds tightly to proteins in the blood and stays active in the body for many days.;Wei et al. 2024 (DOI: 10.3389/fphar.2024.1391003);;;icon_route_oral.png;
J11.1;SEC_04_TX;B4;BALOXAVIR;Sex/Physical;BMI_Obese_30_Plus;Severe weight levels require a completely different higher dose amount to ensure enough medicine reaches the lungs.;Zhu et al. 2025 (DOI: 10.1371/journal.pone.0326777);Furthermore ;;;icon_route_oral.png
J11.1;SEC_04_TX;B4;BALOXAVIR;Clinical;Pregnancy_T2;This treatment has not been proven safe for developing babies and must be completely avoided.;Chow et al. 2021 (DOI: 10.1093/ofid/ofab138);OVERRIDE;;;icon_route_oral.png
J11.1;SEC_04_TX;B1;ZANAMIVIR;Universal;Universal_Statement;This inhaled medicine directly coats the airways to stop the virus from spreading to healthy lung cells.;Sato 2024 (DOI: 10.5387/fms.24-00029);;;;
J11.1;SEC_04_TX;B2;ZANAMIVIR;Universal;Universal_Statement;It is breathed directly into the lungs to deliver the active ingredients exactly where the infection is worst.;Chow et al. 2021 (DOI: 10.1093/ofid/ofab138);;;;
J11.1;SEC_04_TX;B3;ZANAMIVIR;Universal;Universal_Statement;It can occasionally cause coughing fits or throat irritation right after it is inhaled.;Chow et al. 2021 (DOI: 10.1093/ofid/ofab138);;;;
J11.1;SEC_04_TX;B4;ZANAMIVIR;Universal;Universal_Statement;The medicine acts mostly on the surface of the breathing tubes without entering the deep blood supply in large amounts.;Sato 2024 (DOI: 10.5387/fms.24-00029);;;;
J11.1;SEC_05_MNG;B1;;Universal;Universal_Statement;Eating foods rich in natural protective compounds helps keep the lung lining strong against viral damage.;Major et al. 2023 (DOI: 10.1038/s41586-023-06287-y);;;;
J11.1;SEC_05_MNG;B2;;Universal;Universal_Statement;Getting an annual updated vaccine is the single most effective way to prevent the illness from taking hold.;Guo et al. 2024 (DOI: 10.1016/j.vaccine.2024.02.059);;;;
J11.1;SEC_05_MNG;B3;;Universal;Universal_Statement;Resting completely and staying isolated stops the virus from passing to vulnerable family members.;Uyeki et al. 2019 (DOI: 10.1093/cid/ciy874);;;;
J11.1;SEC_06_FLG;B1;;Universal;Universal_Statement;Sudden extreme difficulty breathing severe confusion or persistent chest pain are massive warning signs requiring immediate emergency room care.;Uyeki et al. 2019 (DOI: 10.1093/cid/ciy874);;;icon_warning.png;
J11.1;SEC_06_FLG;B2;;Universal;Universal_Statement;Stop any medicine immediately if unexpected severe swelling or an allergic skin reaction suddenly begins.;Zhou et al. 2024 (DOI: 10.1371/journal.pone.0308998);;;icon_warning.png;
J11.1;SEC_06_FLG;B2;OSELTAMIVIR;Universal;Universal_Statement;Stop the medicine immediately if unexpected severe confusion or unusual behavior suddenly begins.;Zhou et al. 2024 (DOI: 10.1371/journal.pone.0308998);;;icon_warning.png;
J11.1;SEC_06_FLG;B2;BALOXAVIR;Universal;Universal_Statement;Stop taking this and seek help if severe muscle pain and weakness suddenly develop.;Li et al. 2024 (DOI: 10.1186/s12879-024-09339-4);;;icon_warning.png;
J11.1;SEC_06_FLG;B2;ZANAMIVIR;Universal;Universal_Statement;Discontinue use instantly if the airways suddenly tighten and breathing becomes incredibly difficult.;Chow et al. 2021 (DOI: 10.1093/ofid/ofab138);;;icon_warning.png;
J11.1;SEC_06_FLG;B3;;Universal;Universal_Statement;Oxygen levels dropping below normal limits signals that the lungs are failing and urgent medical support is necessary.;Rosero et al. 2025 (DOI: 10.1007/s40266-024-01169-y);;;icon_warning.png;
J11.1;SEC_07_SUC;B1;;Universal;Universal_Statement;The main medical goal is to stop the virus from multiplying and prevent it from causing severe lung damage.;Hanaki et al. 2024 (DOI: 10.2169/internalmedicine.2100-23);;;;
J11.1;SEC_07_SUC;B2;;Universal;Universal_Statement;Success is obvious when the high body temperature breaks and normal breathing is fully restored within a few days.;Ji et al. 2025 (DOI: 10.37766/inplasy2025.11.0063);;;;
