ICD10_ID;Section_ID;Bullet_ID;Med_Class_ID;Variable_Group;Target_Variable;Statement_Text;Reference_Link;Nuance_Transition;Caregiver_Statement;Route_Icon;
U07.1;SEC_01_DEF;B1;;Universal;Universal_Statement;This viral illness affects the breathing tubes and entire body ranging from entirely unnoticeable to severe lung and organ failure.;Le et al. 2021 (DOI: 10.1002/rmv.2288);;;;
U07.1;SEC_01_DEF;B2;;Universal;Universal_Statement;The virus attaches to specific receptors on healthy cells to enter and multiply triggering a massive inflammatory reaction.;Chen et al. 2021 (DOI: 10.1038/s41375-021-01264-8);;;;
U07.1;SEC_01_DEF;B3;;Universal;Universal_Statement;Severe infection directly damages blood vessels and causes tiny clots leading to rapid strain on the kidneys and heart.;Fadul et al. 2025 (DOI: 10.7759/cureus.83083);;;;
U07.1;SEC_02_ETI;B1;;Universal;Universal_Statement;The illness is caused directly by a highly contagious virus spreading through the air and infecting the breathing tubes.;Han et al. 2025 (DOI: 10.1038/s41533-025-00414-0);;;;
U07.1;SEC_02_ETI;B2;;Universal;Universal_Statement;Conditions like high blood pressure diabetes heart strain and smoking double the likelihood of developing severe illness.;Chenchula et al. 2023 (DOI: 10.1038/s41598-023-33314-9);;;;
U07.1;SEC_02_ETI;B2;;Sex/Physical;BMI_Obese_30_Plus;Excess body weight independently raises the risk of severe disease and poor outcomes.;Singh et al. 2022 (DOI: 10.3389/fendo.2022.780872);Additionally ;;;
U07.1;SEC_02_ETI;B3;;Universal;Universal_Statement;Certain biological and demographic factors naturally change how aggressively the virus attacks the body.;Pijls et al. 2021 (DOI: 10.1136/bmjopen-2020-044640);;;;
U07.1;SEC_02_ETI;B3;;Age;Age_Frail_Elderly_80_Plus;Advanced age sharply increases the chance of needing hospital care and experiencing life-threatening complications.;Starke et al. 2021 (DOI: 10.1136/bmjgh-2021-006434);For instance ;;;
U07.1;SEC_02_ETI;B3;;Sex/Physical;Sex_Male;Males tend to experience higher rates of infection and intensive care admission.;Li et al. 2021 (DOI: 10.1371/journal.pone.0250602);Furthermore ;;;
U07.1;SEC_03_IMP;B1;;Universal;Universal_Statement;The patient will typically develop a sudden fever deep muscle aches intense fatigue and a dry cough.;Struyf et al. 2020 (DOI: 10.1002/14651858.cd013665);;;;
